Table: Table_1

,AREA ,PRODUCT ,PETRON ,SHELL ,CALTEX ,PHOENIX ,FLYING V ,SEAOIL ,JETTI ,MY GAS ,INDEPENDENT ,OVERALL DANCE ,COMMON DDICE ,AVERAGE DDICE ,
,,RON 97 ,N.A ,N.A ,N.A ,78.50 - 78.50 ,,N.A ,,N.A ,N.A ,78.50 - 78.50 ,NONE ,78.50 ,
,,RON 95 ,80.44 80.45 ,78.19 80.95 ,- ,78.00 78.00 ,,- ,,- ,- ,78.00 80.95 ,NONE ,79.61 ,
North Cotabato ,,RON 91 ,79.91 79.92 ,77.31 80.41 ,- ,77.46 77.46 ,NO BRANCH/ ,- ,NO BRANCH/ ,- ,- ,77.31 80.41 ,NONE ,79.00 ,
,Kidapawan City ,DIESEL ,82.20 82.20 ,79.20 82.70 ,- ,80.70 80.70 ,OUTLET ,- ,OUTLET ,- ,- ,79.20 82.70 ,82.20 ,81.40 ,
,,DIESEL PLUS ,84.20 84.20 ,85.15 88.60 ,N.A ,N.A ,,N.A ,,N.A ,N.A ,84.20 88.60 ,NONE ,85.98 ,
,,KEROSENE ,- ,- ,- ,N.A ,,N.A ,,N.A ,- ,- ,NONE ,NONE ,
,,RON 97 ,N.A ,N.A ,N.A ,,,N.A ,,,N.A ,- ,NONE ,NONE ,
,,RON 95 ,76.27 76.75 ,- ,- ,,,- ,,,- ,76.27 76.75 ,76.27 ,76.39 ,
,,RON 91 ,75.54 75.54 ,- ,- ,NO BRANCH/ ,NO BRANCH/ ,- ,NO BRANCH/ ,NO BRANCH/ ,- ,75.54 75.54 ,75.54 ,75.54 ,
Sultan Kudarat ,Tacurong City ,DIESEL ,81.64 81.64 ,- ,- ,OUTLET ,OUTLET ,- ,OUTLET ,OUTLET ,- ,81.64 81.64 ,81.64 ,81.64 ,
,,DIESEL PLUS ,83.54 83.54 ,- ,N.A ,,,N.A ,,,N.A ,83.54 83.54 ,83.54 ,83.54 ,
,,KEROSENE ,82.43 82.43 ,- ,- ,,,N.A ,,,- ,82.43 82.43 ,NONE ,82.43 ,
Province ,Cities ,,,,,,,REGION XIII ,,,,,,,
,,RON 97 ,N.A ,N.A ,N.A ,- ,,N.A ,,N.A ,N.A ,- ,NONE ,NONE ,
,,RON 95 ,- ,78.60 78.60 ,78.60 78.60 ,- ,,76.65 76.65 ,,- ,76.00 78.65 ,76.00 78.65 ,78.60 ,77.51 ,
,,RON 91 ,- ,78.20 78.20 ,,- ,NO BRANCH/ ,76.45 76.45 ,NO BRANCH/ ,- ,75.90 78.55 ,75.90 78.55 ,NONE ,77.11 ,
Agusan del Sur ,Bayugan City ,DIESEL ,- ,82.15 82.15 ,82.15 82.15 ,- ,OUTLET ,81.00 81.00 ,OUTLET ,- ,77.45 78.55 ,77.45 82.15 ,82.15 ,79.88 ,
,,DIESEL PLUS ,- ,- ,N.A ,N.A ,,N.A ,,N.A ,N.A ,,NONE ,NONE ,
,,KEROSENE ,- ,- ,- ,N.A ,,N.A ,,N.A ,88.00 88.00 ,88.00 88.00 ,NONE ,88.00 ,
,,RON 95 ,75.18 75.18 ,76.64 79.91 ,76.64 76.65 ,- ,71.35 72.68 ,75.50 81.50 ,79.80 79.80 ,- ,73.25 76.45 ,71.35 81.50 ,76.65 ,76.46 ,
,,RON 91 ,,75.90 78.55 ,75.90 75.90 ,- ,71.05 72.18 ,75.20 81.20 ,,- ,73.10 75.55 ,71.05 81.20 ,75.90 ,75.69 ,
,Butuan City ,DIESEL ,78.38 78.38 ,80.43 81.55 ,80.43 80.43 ,- ,77.42 79.03 ,79.27 85.60 ,80.30 80.30 ,- ,79.03 81.60 ,77.42 85.60 ,80.43 ,80.26 ,
,,DIESEL PLUS ,- ,86.75 87.80 ,N.A ,N.A ,N.A ,N.A ,N.A ,N.A ,N.A ,86.75 87.80 ,86.75 ,87.20 ,
del ,,KEROSENE ,- ,- ,- ,N.A ,- ,N.A ,N.A ,N.A ,84.20 84.20 ,84.20 84.20 ,NONE ,84.20 ,
